stem;ind3sg;ind3pl;prescont3sg;prescont3pl
chink;chinks;chink;is chinking;are chinking
shimmy;shimmies;shimmy;is shimmying;are shimmying
piffle;piffles;piffle;is piffling;are piffling
impower;impowers;impower;is impowering;are impowering
mechanize;mechanizes;mechanize;is mechanizing;are mechanizing
muse;muses;muse;is musing;are musing
demarcate;demarcates;demarcate;is demarcating;are demarcating
unmask;unmasks;unmask;is unmasking;are unmasking
over-estimate;over-estimates;over-estimate;is over-estimating;are over-estimating
boohoo;boohoos;boohoo;is boohooing;are boohooing
gloat;gloats;gloat;is gloating;are gloating
undeceive;undeceives;undeceive;is undeceiving;are undeceiving
intoxicate;intoxicates;intoxicate;is intoxicating;are intoxicating
prosecute;prosecutes;prosecute;is prosecuting;are prosecuting
flannel;flannels;flannel;is flannelling;are flannelling
overvalue;overvalues;overvalue;is overvaluing;are overvaluing
limp;limps;limp;is limping;are limping
assemble;assembles;assemble;is assembling;are assembling
frock;frocks;frock;is frocking;are frocking
upbraid;upbraids;upbraid;is upbraiding;are upbraiding
burl;burls;burl;is burling;are burling
narrow;narrows;narrow;is narrowing;are narrowing
recede;recedes;recede;is receding;are receding
bug;bugs;bug;is bugging;are bugging
destroy;destroys;destroy;is destroying;are destroying
shout;shouts;shout;is shouting;are shouting
alibi;alibis;alibi;is alibiing;are alibiing
delimitate;delimits;delimitate;is delimiting;are delimiting
sigh;sighs;sigh;is sighing;are sighing
distrain;distrains;distrain;is distraining;are distraining
offload;offloads;offload;is offloading;are offloading
eradicate;eradicates;eradicate;is eradicating;are eradicating
trespass;trespasses;trespass;is trespassing;are trespassing
panhandle;panhandles;panhandle;is panhandling;are panhandling
shingle;shingles;shingle;is shingling;are shingling
craunch;craunches;craunch;is craunching;are craunching
dismantle;dismantles;dismantle;is dismantling;are dismantling
people;peoples;people;is peopling;are peopling
ricochet;ricochets;ricochet;is ricochetting;are ricochetting
reft;reft;reft;is refting;are refting
stultify;stultifies;stultify;is stultifying;are stultifying
fireproof;fireproofs;fireproof;is fireproofing;are fireproofing
burn;burns;burn;is burning;are burning
deprave;depraves;deprave;is depraving;are depraving
perturb;perturbs;perturb;is perturbing;are perturbing
splotch;splotches;splotch;is splotching;are splotching
deprive;deprives;deprive;is depriving;are depriving
sulphurize;sulphurizes;sulphurize;is sulphurizing;are sulphurizing
murdabad;murdabads;murdabad;is murdabading;are murdabading
eliminate;eliminates;eliminate;is eliminating;are eliminating
canker;cankers;canker;is cankering;are cankering
firecure;firecures;firecure;is firecuring;are firecuring
electioneer;electioneers;electioneer;is electioneering;are electioneering
hover;hovers;hover;is hovering;are hovering
abrogate;abrogates;abrogate;is abrogating;are abrogating
rock;rocks;rock;is rocking;are rocking
iron;irons;iron;is ironing;are ironing
evidence;evidences;evidence;is evidencing;are evidencing
supervise;supervises;supervise;is supervising;are supervising
conjure;conjures;conjure;is conjuring;are conjuring
medicate;medicates;medicate;is medicating;are medicating
crimp;crimps;crimp;is crimping;are crimping
plunder;plunders;plunder;is plundering;are plundering
quilt;quilts;quilt;is quilting;are quilting
reposit;reposits;reposit;is repositing;are repositing
moulder;moulders;moulder;is mouldering;are mouldering
perish;perishes;perish;is perishing;are perishing
countermine;countermines;countermine;is countermining;are countermining
forebode;forebodes;forebode;is foreboding;are foreboding
prepay;prepays;prepay;is prepaying;are prepaying
turpentine;turpentines;turpentine;is turpentining;are turpentining
practise;practises;practise;is practising;are practising
thin;thins;thin;is thinning;are thinning
jackknife;jack-knifes;jackknife;is jack-knifing;are jack-knifing
decompress;decompresses;decompress;is decompressing;are decompressing
twaddle;twaddles;twaddle;is twaddling;are twaddling
quadruple;quadruples;quadruple;is quadrupling;are quadrupling
tepefy;tepefies;tepefy;is tepefying;are tepefying
pore;pores;pore;is poring;are poring
hedgehop;hedgehops;hedgehop;is hedgehopping;are hedgehopping
lesson;lessons;lesson;is lessoning;are lessoning
neigh;neighs;neigh;is neighing;are neighing
modulate;modulates;modulate;is modulating;are modulating
anguish;anguishes;anguish;is anguishing;are anguishing
doom;dooms;doom;is dooming;are dooming
snub;snubs;snub;is snubbing;are snubbing
regelate;regelates;regelate;is regelating;are regelating
wrong;wrongs;wrong;is wronging;are wronging
Hispanicize;Hispanicizes;Hispanicize;is Hispanicizing;are Hispanicizing
sectarianize;sectarianizes;sectarianize;is sectarianizing;are sectarianizing
unmake;unmakes;unmake;is unmaking;are unmaking
birl;birls;birl;is birling;are birling
oversteer;oversteers;oversteer;is oversteering;are oversteering
disorder;disorders;disorder;is disordering;are disordering
steel;steels;steel;is steeling;are steeling
time;times;time;is timing;are timing
lour;lours;lour;is louring;are louring
rowel;rowels;rowel;is rowelling;are rowelling
subvert;subverts;subvert;is subverting;are subverting
cocker;cockers;cocker;is cockering;are cockering
lamb;lambs;lamb;is lambing;are lambing
diamond;diamonds;diamond;is diamonding;are diamonding
coax;coaxes;coax;is coaxing;are coaxing
besteaded;besteads;besteaded;is besteading;are besteading
intermix;intermixes;intermix;is intermixing;are intermixing
autotomize;autotomizes;autotomize;is autotomizing;are autotomizing
bone;bones;bone;is boning;are boning
corset;corsets;corset;is corseting;are corseting
accost;accosts;accost;is accosting;are accosting
distaste;distastes;distaste;is distasting;are distasting
approbate;approbates;approbate;is approbating;are approbating
network;networks;network;is networking;are networking
repudiate;repudiates;repudiate;is repudiating;are repudiating
reopen;reopens;reopen;is reopening;are reopening
warehouse;warehouses;warehouse;is warehousing;are warehousing
cope;copes;cope;is coping;are coping
char;chars;char;is charring;are charring
elute;elutes;elute;is eluting;are eluting
gammon;gammons;gammon;is gammoning;are gammoning
graze;grazes;graze;is grazing;are grazing
predestinate;predestinates;predestinate;is predestinating;are predestinating
poss;posses;poss;is possing;are possing
transcend;transcends;transcend;is transcending;are transcending
caption;captions;caption;is captioning;are captioning
overcapitalize;overcapitalizes;overcapitalize;is overcapitalizing;are overcapitalizing
electrodeposit;electrodeposits;electrodeposit;is electrodepositing;are electrodepositing
sortie;sorties;sortie;is sortieing;are sortieing
title;titles;title;is titling;are titling
league;leagues;league;is leaguing;are leaguing
force-land;force-lands;force-land;is force-landing;are force-landing
whinny;whinnies;whinny;is whinnying;are whinnying
diadem;diadems;diadem;is diademing;are diademing
blackbird;blackbirds;blackbird;is blackbirding;are blackbirding
joist;joists;joist;is joisting;are joisting
housel;housels;housel;is houselling;are houselling
smoodge;smoodges;smoodge;is smoodging;are smoodging
weep;weeps;weep;is weeping;are weeping
regrate;regrates;regrate;is regrating;are regrating
tittivate;tittivates;tittivate;is tittivating;are tittivating
spangle;spangles;spangle;is spangling;are spangling
spag;spags;spag;is spagging;are spagging
cockle;cockles;cockle;is cockling;are cockling
pig;pigs;pig;is pigging;are pigging
dogear;dogears;dogear;is dogearing;are dogearing
hug;hugs;hug;is hugging;are hugging
stot;stots;stot;is stotting;are stotting
tamp;tamps;tamp;is tamping;are tamping
shush;shushes;shush;is shushing;are shushing
corner;corners;corner;is cornering;are cornering
bowl;bowls;bowl;is bowling;are bowling
nationalize;nationalizes;nationalize;is nationalizing;are nationalizing
bop;bops;bop;is bopping;are bopping
envelop;envelops;envelop;is enveloping;are enveloping
shortchange;shortchanges;shortchange;is shortchanging;are shortchanging
enthrone;enthrones;enthrone;is enthroning;are enthroning
communicate;communicates;communicate;is communicating;are communicating
sepulchre;sepulchres;sepulchre;is sepulchring;are sepulchring
madden;maddens;madden;is maddening;are maddening
disclaim;disclaims;disclaim;is disclaiming;are disclaiming
wreck;wrecks;wreck;is wrecking;are wrecking
scold;scolds;scold;is scolding;are scolding
maltreat;maltreats;maltreat;is maltreating;are maltreating
homologate;homologates;homologate;is homologating;are homologating
bellyache;bellyaches';bellyache;is belly-aching;are belly-aching
unclog;unclogs;unclog;is unclogging;are unclogging
shank;shanks;shank;is shanking;are shanking
underprop;underprops;underprop;is underpropping;are underpropping
reflux;refluxes;reflux;is refluxing;are refluxing
wilt;wilts;wilt;is wilting;are wilting
wean;weans;wean;is weaning;are weaning
pretend;pretends;pretend;is pretending;are pretending
penalize;penalizes;penalize;is penalizing;are penalizing
study;studies;study;is studying;are studying
thrash;thrashes;thrash;is thrashing;are thrashing
outride;outrides;outride;is outriding;are outriding
cityfy;cityfies;cityfy;is cityfying;are cityfying
conn;cons;conn;is conning;are conning
roll;rolls;roll;is rolling;are rolling
tergiversate;tergiversates;tergiversate;is tergiversating;are tergiversating
deflect;deflects;deflect;is deflecting;are deflecting
divert;diverts;divert;is diverting;are diverting
depicture;depictures;depicture;is depicturing;are depicturing
chamfer;chamfers;chamfer;is chamfering;are chamfering
cere;ceres;cere;is cering;are cering
superabound;superabounds;superabound;is superabounding;are superabounding
redress;redresses;redress;is redressing;are redressing
free-select;free-selects;free-select;is free-selecting;are free-selecting
stet;stets;stet;is stetting;are stetting
assort;assorts;assort;is assorting;are assorting
interlard;interlards;interlard;is interlarding;are interlarding
daff;daffs;daff;is daffing;are daffing
enshroud;enshrouds;enshroud;is enshrouding;are enshrouding
cable;cables;cable;is cabling;are cabling
snipe;snipes;snipe;is sniping;are sniping
undulate;undulates;undulate;is undulating;are undulating
hobbyhorse;hobbyhorses;hobbyhorse;is hobbyhorsing;are hobbyhorsing
loam;loams;loam;is loaming;are loaming
share;shares;share;is sharing;are sharing
seine;seines;seine;is seining;are seining
shift;shifts;shift;is shifting;are shifting
ratiocinate;ratiocinates;ratiocinate;is ratiocinating;are ratiocinating
scavenge;scavenges;scavenge;is scavenging;are scavenging
cove;coves;cove;is coving;are coving
smoothen;smoothens;smoothen;is smoothening;are smoothening
presume;presumes;presume;is presuming;are presuming
stride;strides;stride;is striding;are striding
varnish;varnishes;varnish;is varnishing;are varnishing
predestine;predestines;predestine;is predestining;are predestining
Romanize;Romanizes;Romanize;is Romanizing;are Romanizing
putt;putts;putt;is putting;are putting
overbuild;overbuilds;overbuild;is overbuilding;are overbuilding
exsect;exsects;exsect;is exsecting;are exsecting
hebetate;hebetates;hebetate;is hebetating;are hebetating
funnel;funnels;funnel;is funnelling;are funnelling
admeasure;admeasures;admeasure;is admeasuring;are admeasuring
deify;deifies;deify;is deifying;are deifying
desalinize;desalinizes;desalinize;is desalinizing;are desalinizing
drowse;drowses;drowse;is drowsing;are drowsing
sledge;sleds;sledge;is sleding;are sleding
hotfoot;hotfoots;hotfoot;is hotfooting;are hotfooting
delude;deludes;delude;is deluding;are deluding
topple;topples;topple;is toppling;are toppling
tally;tallies;tally;is tallying;are tallying
compensate;compensates;compensate;is compensating;are compensating
grump;grumps;grump;is grumping;are grumping
wimble;wimbles;wimble;is wimbling;are wimbling
drape;drapes;drape;is draping;are draping
palaver;palavers;palaver;is palavering;are palavering
overlook;overlooks;overlook;is overlooking;are overlooking
single-step;single-steps;single-step;is single-stepping;are single-stepping
astrict;astricts;astrict;is astricting;are astricting
scourge;scourges;scourge;is scourging;are scourging
front;fronts;front;is fronting;are fronting
unsex;unsexes;unsex;is unsexing;are unsexing
vanquish;vanquishes;vanquish;is vanquishing;are vanquishing
oblige;obliges;oblige;is obliging;are obliging
copyright;copyrights;copyright;is copyrighting;are copyrighting
classify;classifies;classify;is classifying;are classifying
outmanoeuvre;outmanoeuvres;outmanoeuvre;is outmanoeuvring;are outmanoeuvring
buttonhole;buttonholes;buttonhole;is buttonholing;are buttonholing
impound;impounds;impound;is impounding;are impounding
finance;finances;finance;is financing;are financing
absolve;absolves;absolve;is absolving;are absolving
intitule;intitules;intitule;is intituling;are intituling
grip;grips;grip;is gripping;are gripping
seduce;seduces;seduce;is seducing;are seducing
devoice;devoices;devoice;is devoicing;are devoicing
pain;pains;pain;is paining;are paining
manipulate;manipulates;manipulate;is manipulating;are manipulating
cohabit;cohabits;cohabit;is cohabiting;are cohabiting
mouth;mouths;mouth;is mouthing;are mouthing
winterize;winterizes;winterize;is winterizing;are winterizing
flesh;fleshes;flesh;is fleshing;are fleshing
retard;retards;retard;is retarding;are retarding
propend;propends;propend;is propending;are propending
denizen;denizens;denizen;is denizening;are denizening
caddy;caddies;caddy;is caddying;are caddying
rone;rones;rone;is roning;are roning
wouldst;wouldsts;wouldst;is wouldsting;are wouldsting
tar;tars;tar;is tarring;are tarring
abash;abashes;abash;is abashing;are abashing
abnegate;abnegates;abnegate;is abnegating;are abnegating
cooey;cooeys;cooey;is cooeying;are cooeying
desiccate;desiccates;desiccate;is desiccating;are desiccating
cantilever;cantilevers;cantilever;is cantilevering;are cantilevering
channel;channels;channel;is channelling;are channelling
